# Time[s]    Strain
1.586914062500000000e-02 6.265142350659250530e-24
1.611328125000000000e-02 1.215407703546302182e-23
1.635742187500000000e-02 1.386306230499613577e-23
1.660156250000000000e-02 1.009983826655810447e-23
1.684570312500000000e-02 1.668928821017317294e-24
1.708984375000000000e-02 -8.804564169501190674e-24
1.733398437500000000e-02 -1.791096262200976822e-23
1.757812500000000000e-02 -2.286187917250467255e-23
1.782226562500000000e-02 -2.282897935962763003e-23
1.806640625000000000e-02 -1.968039314405875789e-23
1.831054687500000000e-02 -1.756935568319218332e-23
1.855468750000000000e-02 -2.116289071760413803e-23
1.879882812500000000e-02 -3.301842719246127610e-23
1.904296875000000000e-02 -5.134742890432881768e-23
1.928710937500000000e-02 -6.957554606470296939e-23
1.953125000000000000e-02 -7.838524388918341403e-23
1.977539062500000000e-02 -6.958247895690529772e-23
2.001953125000000000e-02 -4.004486998162789008e-23
2.026367187500000000e-02 6.057786940377565739e-24
2.050781250000000000e-02 5.776567989178722097e-23
2.075195312500000000e-02 1.005235638725244068e-22
2.099609375000000000e-02 1.210923232317586210e-22
2.124023437500000000e-02 1.123777363541424893e-22
2.148437500000000000e-02 7.616093749911139164e-23
2.172851562500000000e-02 2.257456831029429173e-23
2.197265625000000000e-02 -3.336708657540817310e-23
2.221679687500000000e-02 -7.673616216763620575e-23
2.246093750000000000e-02 -9.728440608825065163e-23
2.270507812500000000e-02 -9.201653052250222619e-23
2.294921875000000000e-02 -6.494552017086742733e-23
2.319335937500000000e-02 -2.452222564249310291e-23
2.343750000000000000e-02 1.968167551473709923e-23
2.368164062500000000e-02 5.940551309510668575e-23
2.392578125000000000e-02 8.868753541946235734e-23
2.416992187500000000e-02 1.039851566470494731e-22
2.441406250000000000e-02 1.041514938592010592e-22
2.465820312500000000e-02 9.040674570893058420e-23
2.490234375000000000e-02 6.603265862101433969e-23
2.514648437500000000e-02 3.560179447301305676e-23
2.539062500000000000e-02 3.904178669800137968e-24
2.563476562500000000e-02 -2.500242022126617498e-23
2.587890625000000000e-02 -4.832836301968304646e-23
2.612304687500000000e-02 -6.475859263772081919e-23
2.636718750000000000e-02 -7.448215157822868132e-23
2.661132812500000000e-02 -7.890907333970468292e-23
2.685546875000000000e-02 -7.983927452415038514e-23
2.709960937500000000e-02 -7.818992049130934620e-23
2.734375000000000000e-02 -7.286001483291144711e-23
2.758789062500000000e-02 -6.055020600240200023e-23
2.783203125000000000e-02 -3.713213874149475381e-23
2.807617187500000000e-02 -3.505559379078478407e-25
2.832031250000000000e-02 4.744268460899218896e-23
2.856445312500000000e-02 9.834929047253112008e-23
2.880859375000000000e-02 1.408930673293938572e-22
2.905273437500000000e-02 1.642756388598723848e-22
2.929687500000000000e-02 1.627343038512510644e-22
2.954101562500000000e-02 1.377076042357627505e-22
2.978515625000000000e-02 9.697390500375213957e-23
3.002929687500000000e-02 5.166307601902647566e-23
3.027343750000000000e-02 1.272011282959335846e-23
3.051757812500000000e-02 -1.199800915961370705e-23
3.076171875000000000e-02 -1.944322051293727744e-23
3.100585937500000000e-02 -1.178046911866130868e-23
3.125000000000000000e-02 4.423491665071614034e-24
3.149414062500000000e-02 2.004503971005933328e-23
3.173828125000000000e-02 2.607996024717497551e-23
3.198242187500000000e-02 1.670582152546750070e-23
3.222656250000000000e-02 -8.236644592272234245e-24
3.247070312500000000e-02 -4.263198375889595872e-23
3.271484375000000000e-02 -7.611264966576015099e-23
3.295898437500000000e-02 -9.810830055275076004e-23
3.320312500000000000e-02 -1.020360045709756665e-22
3.344726562500000000e-02 -8.762947839478074751e-23
3.369140625000000000e-02 -6.051588033622402328e-23
3.393554687500000000e-02 -2.954718164591934198e-23
3.417968750000000000e-02 -3.258287530169781670e-24
3.442382812500000000e-02 1.299173403090626337e-23
3.466796875000000000e-02 1.808294086891137997e-23
3.491210937500000000e-02 1.426927257574265849e-23
3.515625000000000000e-02 5.268781747022366224e-24
3.540039062500000000e-02 -5.473754010253523958e-24
3.564453125000000000e-02 -1.569981439481465535e-23
3.588867187500000000e-02 -2.459561403097581908e-23
3.613281250000000000e-02 -3.277017795177068526e-23
3.637695312500000000e-02 -4.190773692390165510e-23
3.662109375000000000e-02 -5.387479732936986493e-23
3.686523437500000000e-02 -6.951233361828315924e-23
3.710937500000000000e-02 -8.777916845173327460e-23
3.735351562500000000e-02 -1.057978731978868785e-22
3.759765625000000000e-02 -1.199007448093529722e-22
3.784179687500000000e-02 -1.272662791510039648e-22
3.808593750000000000e-02 -1.272479396698513786e-22
3.833007812500000000e-02 -1.214031147938869627e-22
3.857421875000000000e-02 -1.120153425059391840e-22
3.881835937500000000e-02 -1.001928807546510310e-22
3.906250000000000000e-02 -8.517434884321690078e-23
3.930664062500000000e-02 -6.552385729897582627e-23
3.955078125000000000e-02 -4.123569600988298488e-23
3.979492187500000000e-02 -1.494840607922131902e-23
4.003906250000000000e-02 8.827702865940613822e-24
4.028320312500000000e-02 2.601595825432987432e-23
4.052734375000000000e-02 3.518295277731696955e-23
4.077148437500000000e-02 3.809251932511863922e-23
4.101562500000000000e-02 3.829195289034750552e-23
4.125976562500000000e-02 3.879688962081869410e-23
4.150390625000000000e-02 4.037212063137886275e-23
4.174804687500000000e-02 4.131780156956042591e-23
4.199218750000000000e-02 3.874649865068544595e-23
4.223632812500000000e-02 3.057667076347983254e-23
4.248046875000000000e-02 1.706367661985169068e-23
4.272460937500000000e-02 9.092929150024458805e-25
4.296875000000000000e-02 -1.408606416445432177e-23
4.321289062500000000e-02 -2.485543456294481708e-23
4.345703125000000000e-02 -3.020959864985814351e-23
4.370117187500000000e-02 -3.086577599913993685e-23
4.394531250000000000e-02 -2.877513234276542509e-23
4.418945312500000000e-02 -2.633005553340549864e-23
4.443359375000000000e-02 -2.568809144427822785e-23
4.467773437500000000e-02 -2.819658426690127402e-23
4.492187500000000000e-02 -3.393952975812322174e-23
4.516601562500000000e-02 -4.155391162210563823e-23
4.541015625000000000e-02 -4.847753523181404349e-23
4.565429687500000000e-02 -5.164910249794973774e-23
4.589843750000000000e-02 -4.844727452866859823e-23
4.614257812500000000e-02 -3.748812804038974198e-23
4.638671875000000000e-02 -1.898408929778466972e-23
4.663085937500000000e-02 5.346486943015738082e-24
4.687500000000000000e-02 3.263096368818893906e-23
4.711914062500000000e-02 5.929321160813977886e-23
4.736328125000000000e-02 8.156143171524842518e-23
4.760742187500000000e-02 9.606139869592882485e-23
4.785156250000000000e-02 1.004872328389797965e-22
4.809570312500000000e-02 9.420788156100950088e-23
4.833984375000000000e-02 7.854206549976279077e-23
4.858398437500000000e-02 5.645266921832181439e-23
4.882812500000000000e-02 3.162776867329478753e-23
4.907226562500000000e-02 7.259028207790437534e-24
4.931640625000000000e-02 -1.490508076414079542e-23
4.956054687500000000e-02 -3.469653992221091420e-23
4.980468750000000000e-02 -5.274232122117246515e-23
5.004882812500000000e-02 -6.924870180341247235e-23
5.029296875000000000e-02 -8.322180678877813236e-23
5.053710937500000000e-02 -9.274895981312089343e-23
5.078125000000000000e-02 -9.618485577440992260e-23
5.102539062500000000e-02 -9.339744447520646719e-23
5.126953125000000000e-02 -8.622375642347753702e-23
5.151367187500000000e-02 -7.788651530007135390e-23
5.175781250000000000e-02 -7.174841848798597375e-23
5.200195312500000000e-02 -7.006381269729640939e-23
5.224609375000000000e-02 -7.336596251634038306e-23
5.249023437500000000e-02 -8.082458440926342749e-23
5.273437500000000000e-02 -9.128669588632526011e-23
5.297851562500000000e-02 -1.041041564740898683e-22
5.322265625000000000e-02 -1.188753338675460975e-22
5.346679687500000000e-02 -1.341327223656313497e-22
